Issue Type,Issue key,Issue id,Description,Custom field (Serial Number),Custom field (Symptom),Custom field (Symptom),Custom field (Disposition),Custom field (SKU(s)),Custom field (Region),Custom field (Base SKU),Custom field (Root Cause),Custom field (Corrective Action),Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
Bug,PCOPT-1778,2773715,"HD6051SPK1_EB1_Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_3/3(584#,585#,586#)tested, the painting of Straightener peeled off at 3579c/s, 3740c/s, 5127c/s during Hair Curl Endurance test.(Spec: No paint peeled off was found after 6000 cycles)

!image-20260205-082935.png|width=669,alt=""image-20260205-082935.png""!",,,,,HD6051SPK1,,HD6000,,,"Mar/04/2026 3:39 AM;712020:86cb6daf-9b9d-4a41-86c0-81a061c20e39;This issue is same as [[PCOPT-1772] HD6000US_ECN-EB1(GEN3 straightener)_Hair Care Hair Curl Endurance_the painting of Straightener(Front Cover) peeled off - Jira - SharkNinja|https://sharkninja.atlassian.net/browse/PCOPT-1772], need PD close.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1777,2768101,"HD6051STM_EB1_Chemical Aging Test(Protocol number:HC-GP-IS-011)_2/3(01-X-077#,01-X-078#)tested, the nozzle surface and Power button detent holder surface decal process have small bubbles after immersing in Windex after 168H, same issue on the Tap Water after test.(Spec: No dimension/ deflection/ color change)

!image-20260203-083751.png|width=686,alt=""image-20260203-083751.png""!

!image-20260203-083805.png|width=686,alt=""image-20260203-083805.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1776,2768032," 3pcs Teal/AMETHYST/Granet/STRAWBERRY MATCHA upper cover get yellow after 2750/3650/2000/3250cycles.

1pcs GRANET upper cover painting peeled off after 2190cycles.

1pcs STRAWBERRY MATCHA lower cover painting peeled off after 5010cycles.

!image-20260203-085929.png|width=737,alt=""image-20260203-085929.png""!



!image-20260203-062252.png|width=106,alt=""image-20260203-062252.png""!

!image-20260203-062305.png|width=106,alt=""image-20260203-062305.png""!

!image-20260203-062331.png|width=106,alt=""image-20260203-062331.png""!

!image-20260203-062343.png|width=106,alt=""image-20260203-062343.png""!

!image-20260203-062354.png|width=106,alt=""image-20260203-062354.png""!",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1775,2768016,"HT302PKANZ Roman_ECN-EB1_PQT TEST(GP-GP-IS-004)_2/3(58#,59#), found unit stop running when the voltage of power supply dips, it need operator to press ""Reset"" key to resume normal operation.
Test Level in 40% UT
Required Criterion B,Test Result C
Power cord Supplier:Rifeng",,,,,,,HT300,"PRCD circuit breaker tripped to protect the system when the voltage was extremely low, no safety issue and did not damage the unit.",,Feb/27/2026 4:07 AM;62ea1bdb1323922c61e1dec4;[~accountid:59f9c5b85556ec74b24dcc9b] [~accountid:5fc6eb47facfd6007634e0cf] please help share RCCA and comments. thanks!,"Feb/27/2026 9:23 PM;59f9c5b85556ec74b24dcc9b;Hi team, this RC for this problem is that the PRCD circuit breaker tripped to protect the system when the voltage was extremely low. No safety issues. And the new acceptance criteria have been changed to level C. So please close this JIRA.

!image-20260228-021947.png|width=554,alt=""image-20260228-021947.png""!

[~accountid:62ea1bdb1323922c61e1dec4] ","Mar/02/2026 10:26 PM;62ea1bdb1323922c61e1dec4;[~accountid:615c5172d9820f0070af4d12] Please help review and close this ticket, thank you!",Mar/18/2026 10:12 AM;615c5172d9820f0070af4d12;[~accountid:62ea1bdb1323922c61e1dec4] aligned to close this ticket. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1774,2766559,"HD6051STM_EB1_SN Packaging Test(Protocol number: GP-PK-IS-002)_3/3MCs(1#,2#,3#)tested, Power cord plug damaged the cardboard after test.(Spec:no damage to Unit or Carton,it is suitable for sale.)

!image-20260203-025357.png|width=686,alt=""image-20260203-025357.png""!


HD6052STM_EB1_SN Packaging Test(Protocol number: GP-PK-IS-002)_3/3MCs(590#,591#,592#)tested, Power cord plug damaged the cardboard after test.(Spec:no damage to Unit or Carton,it is suitable for sale.)

!image-20260203-025427.png|width=686,alt=""image-20260203-025427.png""!",,,,,,,HD6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1773,2745655,"HD6000US_ECN-MB(GEN3 straightener)_Endurance Test -Comb endurance (Protocol number: HC-RE-IS-002)_MB_3/3(212#,216#,217#)tested, After Comb endurance test, the Comb Insertion and removal force of Straightener is  less than spec 3N - 9N
Post test:Insertion force:2.8N,2.5N,2.3N
Removal or release force:2.3N,2.3N,2.2N
(Spec: Insertion 3N - 9N, Removal: 3N - 9N, Insertion and removal force still in spec after 3000 cycles)
ECN20251027-100006",,,,,,,HD600 mini,,,Jan/19/2026 9:01 AM;634cd263d66d8108a1210009;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] Duplicate issue and focus on [https://sharkninja.atlassian.net/browse/PCOPT-1763|https://sharkninja.atlassian.net/browse/PCOPT-1763|smart-link]  Suggest to closing it.,Jan/19/2026 9:56 AM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Closing ticket - tracking in PCOPT-1763 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1772,2745638,"HD6000US_ECN-MB(GEN3 straightener)_Hair Care Hair Curl Endurance(Protocol number: HC-RE-IS-006)_3/3(219#,220#,A1Z9#)tested, the painting of Straightener(Front Cover) peeled off at 3600c/s/2500/2000 c/s during Hair Curl Endurance test.
2/3(219#,A1Z9#)tested,the painting of Straightener Plates peeled off at 6000/6000 c/s during Hair Curl Endurance test.
(Spec: No paint peeled off was found after 6000 cycles)
ECN20251027-100006

!image-20260119-132542.png|width=650,alt=""image-20260119-132542.png""!

!image-20260119-132556.png|width=433,alt=""image-20260119-132556.png""!",,,,,,,HD6000,,,"Jan/20/2026 1:58 AM;634cd263d66d8108a1210009;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] The paints tested on the Gen3 ,the test cycles reach more than 2000c/s, the paints slight peel off occurred on the edge of cover and didn’t enlarge after 6K  curl endurance test.. 

The paints is same with Gen2 and the same paint supplier YZ.

we can see other ticket in YDC about the curl endurance test report.  They are the same issue ,so suggest to closing this ticket.

[https://sharkninja.atlassian.net/browse/PCOPT-1770|https://sharkninja.atlassian.net/browse/PCOPT-1770|smart-link] ","Jan/26/2026 4:52 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;After further review - aligned with quality that this issue has only been reported 7 times and only on FlexFusion. Gen 2 and Gen 3 are much improved and also see chips after 3000+ cycles of curling 

!image-20260126-215232.png|width=863,alt=""image-20260126-215232.png""!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1769,2743665,"XSKHD60MSHRUK_ECN-EB1(Change XSKHD60MSHRUK packaging master pack quantity from 4 to 24)_SN Packaging Test(Protocol number: GP-PK-IS-002_3/3 (#416,#417,#418),The adhesive tape on the Master Carton has cracked.

!image-20260116-061505.png|width=577,alt=""image-20260116-061505.png""!",XSKHD60MSHRUK,,,,,,XSKHD60MSHRUK,brown paper tape rupture strength is weak.,Replace brown paper tape with sustain clear paper tape,Jan/29/2026 4:41 AM;5c61966458edf75c2b8e243a;will redo test with improved sample ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1768,2743652,"HD6051SEU_ECN-EB1(​​​The ST3 Gen has two combs and one is packed separately, add a cardboard)_SN Packaging Test(Protocol number: GP-PK-IS-002_1/3 (#412), scratching on the top of Straightener after PKG testing.(#413), the printing of Straightener fell off after PKG testing.
ECN20250807-015334

!image-20260116-054930.png|width=216,alt=""image-20260116-054930.png""!

!image-20260116-054938.png|width=216,alt=""image-20260116-054938.png""!",HD6051SEU,,,,,,HD6051SEU,,,Jan/18/2026 12:36 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] Can you please review? ,Jan/20/2026 6:51 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:634cd263d66d8108a1210009] [~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] there is no RCCA - please update so we can close this ticket,Jan/20/2026 8:26 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Closing as duplicate and moving over issue to track in one ticket - PCOPT-1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1767,2743649,"HD6051SEU_ECN-EB1(​​​The ST3 Gen has two combs and one is packed separately, add a cardboard)_SN Packaging Test(Protocol number: GP-PK-IS-002_3/3 (#412,#413,#414),The surface of the color box is worn. scratching on the Inner cardstock lining after PKG testing.
ECN20250807-015334

!image-20260116-054619.png|width=216,alt=""image-20260116-054619.png""!

!image-20260116-054626.png|width=216,alt=""image-20260116-054626.png""!

HD6051SEU_ECN-EB1(​​​The ST3 Gen has two combs and one is packed separately, add a cardboard)_SN Packaging Test(Protocol number: GP-PK-IS-002_1/3 (#412), scratching on the top of Straightener after PKG testing.(#413), the printing of Straightener fell off after PKG testing.
ECN20250807-015334

!image-20260116-054930.png|width=216,alt=""image-20260116-054930.png""!

!image-20260116-054938.png|width=216,alt=""image-20260116-054938.png""!",HD6051SEU,,,,,,HD6051SEU,,We will forward these to supplier to improve these,Jan/18/2026 12:37 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] This is not related to the addition of the Gen 3 straightener but can you please review if there is a way to improve this?,"Jan/19/2026 12:40 AM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] We have many similar issues after packaging vibration test because of the fixed-frequency, we will forward these to supplier to improve that.","Jan/20/2026 6:51 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Hi [~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] , Did supplier give any feedback to improve?","Jan/21/2026 7:48 PM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] As William mentioned on the Teams that there is no compliant from the marketing, could you help to close this. Thanks",Jan/22/2026 11:42 AM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Confirmed with quality we have not seen complaints in market of this issue - closing in reference to gen 3 straightener.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1766,2740614,"Zendesk Link: [https://sharkninja.zendesk.com/agent/tickets/22833579|https://sharkninja.zendesk.com/agent/tickets/22833579]
Share point ID: QT20251210-132232
SKU: HD6051S
S/N number: S15ZX512Z0S6 
Time in Field: 1.5 months
Issue: Customer seeing error code (led 1, 4,5,6) with hair straightener attachment
Reproduceable: yes 
Initial Investigation nondestructive testing: 

# Performed resistance measurements between the leads and found that MCH 2 of the straightener not working. No resistance reading possibility of open circuit 
# Performed CT scan and from the Image attached below we can see that one of the wires is cut near the edge. 

Tear down Destructive testing: 
We opened the hair straightener and found that the two MCH wires red and black were damaged. 
black wire was completely cut, and the red wire had the insulation torn. Broken wire is the cause of MCH break. ",S04ZX512A1F3 ,Error Code,,,HD6051S,,HD6051S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1765,2739297,"Zendesk Link: [https://sharkninja.zendesk.com/agent/tickets/23289205|https://sharkninja.zendesk.com/agent/tickets/23289205]
Share point ID: QT20251231-133624
SKU: HD6000PK
S/N number: S04ZX512A1F3 
Time in Field: Out of box 
Issue: Customer seeing error code (led 1, 3) with hair straightener attachment
Reproduceable: yes 
Initial Investigation nondestructive testing: 
1. Performed resistance measurements between the leads and found that NTC 1 of the straightener not working. Resistance of 1.6 K ohm nominal resistance of 3.24-3.25 ohms at room temp (From EE). 
2. Performed CT scan and from the Image attached below we can see that 2 wires from the NTC are close touching each other. 

# Tear down Destructive testing: 
We opened the hair straightener and found that the two NTC wire connections were soldered but not insulated. The wires were touching each other, which likely caused the NTC to not work. This appears to be a manufacturing issue.

",S04ZX512A1F3 ,Error Code,,,HD6000PK,,HD6000PK,"Root Cause：

1,Teflon tube ( used for insulating NTC wire connections where soldered)  was not designed with fixed position, then the tube moved/shifted to other positions during assembly, result in no insulation protection at the NTC copper wire soldering joints, which led to NTC short-circuit and main unit alarm.

 

Escape Cause

1, The function test for main unit with straightener can’t 100% identify this issue, because the two copper wires won’t come into connection all the time although there’s no insulation protection (already done some simulations ) .

2, No inspection requirement for Teflon tube position in straightener assembly line.

3, The MCH sub-assembly line doesn’t conduct a specific enough inspection on the position of Teflon tube , only requires checking whether the tube on the yellow line are loose.

 

System Cause

When changing from heat-shrink tube to Teflon tube didn’t consider or identify the risk of Teflon tube positioning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1771,2734034,"12/29/2025  1 unit defect @EOL *Function test station found main unit no power*

1/7/2026 1 units defect @EOL *Function test station found main unit no power*

!The first failure unit PCBA .png|width=382,height=245,alt=""The first failure unit PCBA .png""!

!The second failure at functional station.jpg|width=768,height=1024,alt=""The second failure at functional station.jpg""!

!The second failure PCBA-1.jpg|width=768,height=1024,alt=""The second failure PCBA-1.jpg""!

!The second failure PCBA-2.jpg|width=768,height=1024,alt=""The second failure PCBA-2.jpg""!

!The first failure at functional station.jpg|width=600,height=800,alt=""The first failure at functional station.jpg""!",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1763,2733912,"A tester in QHUT reported that the gentle comb fell out a few times during use



After Corrective Action:

HD6000US_ECN-MB(GEN3 straightener)_Endurance Test -Comb endurance (Protocol number: HC-RE-IS-002)_MB_3/3(212#,216#,217#)tested, After Comb endurance test, the Comb Insertion and removal force of Straightener is  less than spec 3N - 9N
Post test:Insertion force:2.8N,2.5N,2.3N
Removal or release force:2.3N,2.3N,2.2N
(Spec: Insertion 3N - 9N, Removal: 3N - 9N, Insertion and removal force still in spec after 3000 cycles)
ECN20251027-100006",,,,,,,HD6000,Comb attachment and removal force is on lower limited Spec.,"Tooling modification and add 0.07mm material

!image-20260113-072544.png|width=1132,height=628,alt=""image-20260113-072544.png""!","Jan/16/2026 9:50 AM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:634cd263d66d8108a1210009] Please share results when they are available. 

Please also measure insert and removal force to close this ticket.","Jan/19/2026 8:58 AM;634cd263d66d8108a1210009; [~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] MB samples test force

Before endurance test 

* insertion force 4.6/4.5/4.4N 
* Removal force 3/4N/3.4N/3.4N 
* meet Spec  3N-9N

Post endurance test 

* insertion force 2.8/2.5N/2.1N 
* Removal force 2.3N/2.3N/2.0N
* No meet Spec 3N-9N ,but we didn’t find the comb fell out while using. 

Duplicate new issue link[https://sharkninja.atlassian.net/browse/PCOPT-1773|https://sharkninja.atlassian.net/browse/PCOPT-1773|smart-link] 

Could you help review MB samples and share the feelings ?

And Could we can update the Spec change to 2N-9N?",Jan/19/2026 9:57 AM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:634cd263d66d8108a1210009] I agree that MB feels better than EB1. However I do not agree to update the spec for the endurance test. It should meet the 3N-9N spec even after the test,"Jan/20/2026 4:34 AM;634cd263d66d8108a1210009;We will adjust the front inner housing slot size to upper limit to improve the operation force.

But it will have the risk that the initial insertion/removal fore may over 9N, as you know there is abrasion after endurance test, the initial force usually is bigger than after test.

So if we want all the force meet the Spec, the initial force needs to raise a little. if have your permission, i will inform the tooling supplier to mod immediately.  [~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] 

!image-20260120-092623.png|width=1308,alt=""image-20260120-092623.png""!","Jan/22/2026 11:40 AM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:634cd263d66d8108a1210009] Aligned to update the front inner housing slot to improve the force after endurance test. 



Before test insertion force is far below 9N spec (4.6/4.5/4.4N) - so we should have room to improve,","Jan/22/2026 7:28 PM;634cd263d66d8108a1210009;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] Thanks, i inform tooling supplier to mod right now, tooling mode lead-time 4days","Feb/04/2026 8:59 PM;634cd263d66d8108a1210009;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] After tooling modification， Passed the comb endurance test  as below DQTP report screenshot. suggest to closing this ticket.

!image-20260205-015741.png|width=1051,alt=""image-20260205-015741.png""!",Feb/04/2026 9:18 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Aligned to close based on passing DQTP results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1762,2732742,"The comb insert is loose on the straightener. It is easy to fall off and throw out. 

!image-20260112-140810.png|width=768,height=1024,alt=""image-20260112-140810.png""!



!image-20260112-140821.png|width=768,height=1024,alt=""image-20260112-140821.png""!",,,,,,,HD6000,The packaging way of the individual comb is incorrect.,"Please see the pictures and the attached video. I shake the device with packed comb, the comb doesn’t fall down easily.

!Image - 2026-01-13T110402.377 (347c107e-6a89-4a32-8d70-5ae66eecf275).jpg|width=16.67%,alt=""Image - 2026-01-13T110402.377.jpg""!

!Image - 2026-01-13T110355.649 (94fcf6fb-7622-4dfc-b29a-3eba8c795580).jpg|width=16.67%!

!Image - 2026-01-13T110351.850 (f5189d7f-db7c-4bc1-9de7-8964dec87d5b).jpg|width=16.67%,alt=""Image - 2026-01-13T110351.850.jpg""!",Jan/12/2026 9:49 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] FYI,"Jan/12/2026 10:12 PM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] 

!MicrosoftTeams-video (2).mp4|width=406,height=720,alt=""MicrosoftTeams-video (2).mp4""!

!MicrosoftTeams-video (1).mp4|width=720,height=1280,alt=""MicrosoftTeams-video (1).mp4""!",Jan/13/2026 8:00 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Thanks [~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41]. When are packaging test results expected?,"Jan/14/2026 1:59 AM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] I checked with testing engineer about the timing, there would be results on this Friday. I will keep following.",Jan/18/2026 12:43 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] Please share an update on these results to close this ticket. I did notice that the MB samples that I received had much improved comb insert.,"Jan/19/2026 12:30 AM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] The test of HD6051SEU with additional comb insert have been finished, there is no insert or comb fall down after test.","Jan/20/2026 6:54 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] I dont see the updated results in PKG test file. Can you please link the passing results to close this ticket? cc [~accountid:634cd263d66d8108a1210009] 

!image-20260120-235437.png|width=891,alt=""image-20260120-235437.png""!","Jan/20/2026 7:53 PM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:712020:c607b510-7764-456f-b116-a4b54d28aba5] Please see the uploaded attachment. We didn’t find the comb with cardboard loosed after test, but there are some other issues. I would like to confirm if you could accept the result due to this version has been active for a long time and there is no any compliant about relevant issue. We just verify the comb&cardboard if there is any impact for the original packaging. Thanks. 

[^DQTP-ECN-TR20260112-031011-HD6051SEU-LeShow-packaging test with add a cardboard-20250116.xlsx]

",Jan/20/2026 8:23 PM;712020:c607b510-7764-456f-b116-a4b54d28aba5;Aligned to close based on passing PKG results - comb insert did not come loose + PD reviewed MB samples and cardboard is much more secure on new insert. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
